Date,Actual,Predicted,Residual
2019-04-01,174.0,170.67760529052666,3.3223947094733433
2019-05-01,148.0,172.66644182746694,-24.66644182746694
2019-06-01,149.0,162.4097472649099,-13.409747264909896
2019-07-01,144.0,154.9879229965937,-10.98792299659371
2019-08-01,142.0,150.84303025775696,-8.843030257756965
2019-09-01,144.0,148.53354263728116,-4.533542637281158
2019-10-01,154.0,148.49735431908053,5.502645680919471
2019-11-01,158.0,153.5247992144187,4.475200785581308
2019-12-01,159.0,159.14555106817556,-0.14555106817556407
2020-01-01,168.0,161.62732456810016,6.372675431899836
2020-02-01,168.0,166.40395815147545,1.5960418485245498
2020-03-01,160.0,169.35823996303697,-9.358239963036965
2020-04-01,151.0,167.35516599832573,-16.35516599832573
2020-05-01,151.0,163.54437060416598,-12.544370604165977
2020-06-01,149.0,161.22872726019156,-12.228727260191562
2020-07-01,149.0,156.86039733318128,-7.860397333181282
2020-08-01,153.0,154.8897371662037,-1.8897371662037017
2020-09-01,155.0,156.0327831216348,-1.0327831216347931
2020-10-01,156.0,157.84404284037473,-1.8440428403747262
2020-11-01,162.0,159.25683024416318,2.743169755836817
2020-12-01,165.0,162.6062277166268,2.3937722833732096
2021-01-01,165.0,166.5709654231541,-1.5709654231540924
2021-02-01,167.0,167.84046643597176,-0.8404664359717628
2021-03-01,163.0,168.8854993308627,-5.8854993308627
2021-04-01,168.0,167.59176116730674,0.40823883269325734
2021-05-01,159.0,169.6468195731669,-10.646819573166908
2021-06-01,159.0,167.48844768442035,-8.48844768442035
2021-07-01,165.0,164.79445415677614,0.2055458432238595
2021-08-01,175.0,167.03749624478633,7.962503755213675
2021-09-01,173.0,174.36630822326168,-1.366308223261683
2021-10-01,175.0,177.5586714085012,-2.5586714085011977
2021-11-01,174.0,178.73599808076995,-4.735998080769946
2021-12-01,181.0,177.9819501820869,3.018049817913095
2022-01-01,185.0,181.1022033625946,3.8977966374054063
2022-02-01,194.0,185.3929777695292,8.60702223047079
2022-03-01,187.0,191.56795935990667,-4.567959359906666
2022-04-01,186.0,191.14362855727438,-5.143628557274383
2022-05-01,183.0,188.84088614564192,-5.840886145641917
2022-06-01,184.0,185.8083433495189,-1.808343349518907
2022-07-01,186.0,184.79801218928185,1.2019878107181512
2022-08-01,197.0,185.89113728100656,11.108862718993436
2022-09-01,195.0,191.87224849792133,3.1277515020786666
2022-10-01,200.0,194.67106946897428,5.328930531025719
2022-11-01,203.0,197.82200468515418,5.177995314845816
2022-12-01,206.0,200.8744071111098,5.125592888890196
2023-01-01,209.0,203.895261356981,5.1047386430190045
2023-02-01,217.0,206.97272916495524,10.02727083504476
2023-03-01,230.0,212.058837931752,17.94116206824799
2023-04-01,244.0,221.07880196715848,22.921198032841517
2023-05-01,251.0,233.07307277973814,17.92692722026186
2023-06-01,260.0,242.7122628605177,17.28773713948229
2023-07-01,262.0,251.05427289156597,10.945727108434028
2023-08-01,272.0,255.80747770655694,16.192522293443062
2023-09-01,279.0,262.05367321611766,16.94632678388234
2023-10-01,297.0,269.79792613465935,27.20207386534065
2023-11-01,290.0,282.733930506894,7.266069493105988
2023-12-01,280.0,287.3568357091817,-7.356835709181723
2024-01-01,300.0,280.48528116330453,19.514718836695465
2024-02-01,311.0,287.4643788634847,23.535621136515317
2024-03-01,328.0,298.8034548199633,29.196545180036708
2024-04-01,318.0,312.1988591541624,5.801140845837608
2024-05-01,323.0,314.37938191361167,8.620618086388333
2024-06-01,318.0,315.13964380324995,2.860356196750047
2024-07-01,306.0,314.45314771272746,-8.453147712727457
2024-08-01,290.0,307.33576502712793,-17.335765027127934
2024-09-01,289.0,295.64534624577186,-6.6453462457718615
2024-10-01,322.0,287.7245104572729,34.27548954272709
2024-11-01,334.0,302.7370814145161,31.262918585483874
2024-12-01,356.0,319.52886009586325,36.47113990413675
