Actual,Forecast,Lower CI,Upper CI,Date
4.016011913150745,4.01686156068244,3.94739253798405,4.086330583380829,2019-03-01
4.042292073337016,4.0196330531811935,3.9071357155645536,4.132130390797833,2019-04-01
3.8745840241469574,4.016030737985905,3.8696248701921996,4.16243660577961,2019-05-01
3.8918421104290504,4.007524248212678,3.832926710538743,4.182121785886613,2019-06-01
3.854232461177817,4.004867497428194,3.8058447621020663,4.203890232754321,2019-07-01
3.8425626376008366,4.006815100496555,3.7860028436846003,4.227627357308509,2019-08-01
3.8507547999064666,4.011385866714452,3.7707335881975883,4.252038145231316,2019-09-01
3.9100962913058703,4.011659029420109,3.752675638126357,4.270642420713861,2019-10-01
3.9284418704397654,4.016195863066492,3.7400915757745183,4.292300150358465,2019-11-01
3.9152136246356757,4.016382704051954,3.72415546802084,4.308609940083068,2019-12-01
3.9693715633947635,4.01549360350857,3.707984490907314,4.323002716109827,2020-01-01
3.964313036994703,4.016931158816126,3.6948615301987635,4.339000787433489,2020-02-01
3.9169005061188984,4.016315622688232,3.6803130547226313,4.3523181906538335,2020-03-01
3.827471881962394,4.02401404504925,3.674631027397363,4.3733970627011365,2020-04-01
3.725455508521687,4.02532016328339,3.6630479622629855,4.387592364303795,2020-05-01
3.6651288467015384,4.026977534252181,3.652256718489088,4.401698350015273,2020-06-01
3.754331143740822,4.025348742684349,3.6385773376154136,4.412120147753284,2020-07-01
3.8255035794919543,4.026434686841593,3.627974603458564,4.424894770224621,2020-08-01
3.8462050611660215,4.021020686494584,3.611202867257877,4.43083850573129,2020-09-01
3.850918860592204,4.017236959318517,3.5963655526990213,4.438108365938012,2020-10-01
3.8820567589349166,4.0132407339204255,3.5815965213147747,4.444884946526076,2020-11-01
3.9013888400362813,4.009583445360806,3.56742668418791,4.451740206533702,2020-12-01
3.890611453300443,4.005056376773192,3.5526291817201225,4.457483571826261,2021-01-01
3.8942183807946393,3.9982696273730323,3.5357979819903713,4.460741272755693,2021-02-01
3.865660559373447,4.000465857400207,3.528161326702048,4.472770388098366,2021-03-01
3.891193827717521,3.9935656597462605,3.511626858633625,4.475504460858896,2021-04-01
3.8025708718670663,3.983090181603948,3.491704042125263,4.474476321082633,2021-05-01
3.7555677056506664,3.983123789776683,3.4824666613255633,4.483780918227803,2021-06-01
3.7929102145576077,3.981474655871743,3.471713265612828,4.491236046130658,2021-07-01
3.8449706822544005,3.977697281213688,3.458989576768748,4.496404985658628,2021-08-01
3.7960219032935045,3.9941144859314863,3.4666103782565387,4.5216185936064335,2021-09-01
3.7852821161740295,4.006674642029066,3.4705166631846733,4.542832620873458,2021-10-01
3.7656959539725205,4.003790231511106,3.4591141194647874,4.548466343557424,2021-11-01
3.8236175729612336,4.000204212417946,3.447139432966332,4.553268991869561,2021-12-01
3.856920758104517,3.9998401597985525,3.4385103740431164,4.5611699455539885,2022-01-01
3.8946439716487946,3.991420173954461,3.42194365842204,4.560896689486881,2022-02-01
3.8530808299020727,3.987692299203436,3.4101823246056235,4.5652022738012485,2022-03-01
3.8564153752717716,3.9887937252469534,3.4033588989704744,4.574228551523433,2022-04-01
3.844175416120336,3.9888012093363643,3.3955457860106977,4.582056632662031,2022-05-01
3.859420242681679,3.9939390837201945,3.3929632475886304,4.5949149198517585,2022-06-01
3.8788586429724035,3.9998613124025213,3.3912614347046746,4.608461190100368,2022-07-01
3.938823103704695,3.998994043577448,3.3828629177161478,4.615125169438748,2022-08-01
3.928272261125884,4.012173957837299,3.3886010147357357,4.635746900938862,2022-09-01
3.9575173567603565,4.028720537828179,3.397792043572227,4.659649032084131,2022-10-01
3.9754901794807402,4.02251371407104,3.3843129516671073,4.660714476474972,2022-11-01
3.985473613409254,4.011935915164633,3.366543352017448,4.657328478311818,2022-12-01
3.9908668705971024,4.005595968540089,3.3530894110611036,4.658102526019074,2023-01-01
4.02084059074158,4.006612525072747,3.347067261663188,4.666157788482305,2023-02-01
4.0784318437620515,4.010018714103243,3.34350764761194,4.676529780594546,2023-03-01
4.13111738865037,4.009788993884915,3.3363827645164292,4.683195223253401,2023-04-01
4.148842819270038,4.017917284469439,3.3376843840097328,4.698150184929145,2023-05-01
4.177141058092258,4.024640448877866,3.337647327010406,4.7116335707453265,2023-06-01
4.1696300917814995,4.029702907978234,3.336014071380957,4.723391744575512,2023-07-01
4.200565742262932,4.0438951192240955,3.3435732240654215,4.7442170143827695,2023-08-01
4.220349206092114,4.057804793184792,3.3509107315733666,4.764698854796217,2023-09-01
4.267822911448829,4.0655769864149764,3.3521699673019145,4.778984005528038,2023-10-01
4.250122772655624,4.0712674213797,3.3514050463627116,4.791129796396688,2023-11-01
4.209587077734378,4.061139156497079,3.3348774909321666,4.787400822061992,2023-12-01
4.277885261868791,4.059357401420212,3.3267510412078463,4.791963761632578,2024-01-01
4.310218779349403,4.0698222873377015,3.330924421715929,4.808720152959474,2024-02-01
4.360114803375343,4.07244654701207,3.327309017658297,4.817584076365843,2024-03-01
4.327266902499856,4.074390652833883,3.323064009549676,4.82571729611809,2024-04-01
4.344968295872079,4.074554040011648,3.3170875932403723,4.832020486782924,2024-05-01
4.327443161381735,4.077079139285345,3.3135210096905023,4.840637268880188,2024-06-01
4.280615082389068,4.083639685593246,3.3140368509056537,4.853242520280839,2024-07-01
4.223818777612918,4.0927682592118915,3.317166598536107,4.868369919887676,2024-08-01
4.215047080336607,4.092175219924869,3.3106195556792866,4.873730884170451,2024-09-01
4.329556765641074,4.093966780491414,3.3065009181420537,4.881432642840774,2024-10-01
