Date,SARIMA Residuals
2019-06-01,10.587686839939778
2019-07-01,1.416241755085963
2019-08-01,2.0723229746277667
2019-09-01,6.774689337463734
2019-10-01,11.428689306548044
2019-11-01,8.180176767063045
2019-12-01,3.742693225049564
2020-01-01,6.030685641441167
2020-02-01,0.9196566160279076
2020-03-01,-0.5946602017613074
2020-04-01,1.8007577077834753
2020-05-01,7.985011200270499
2020-06-01,5.666573301085911
2020-07-01,14.179601846783427
2020-08-01,5.458112688760281
2020-09-01,1.049767590524091
2020-10-01,-0.0371911639739082
2020-11-01,4.486648197720299
2020-12-01,2.4992972629615053
2021-01-01,-1.7224432593340495
2021-02-01,3.9362995005821375
2021-03-01,1.2188394751863143
2021-04-01,4.448995144070622
2021-05-01,-7.045153737522334
2021-06-01,-3.9623183538328206
2021-07-01,-1.6970725104357811
2021-08-01,-0.9210628026724024
2021-09-01,-3.5866488267469094
2021-10-01,2.1822917403262707
2021-11-01,2.342596545482394
2021-12-01,7.691933373818145
2022-01-01,2.974147265256647
2022-02-01,2.6026893005320844
2022-03-01,-3.3161731408078055
2022-04-01,1.5242833565539655
2022-05-01,1.6679484979686094
2022-06-01,-0.6410461550337416
2022-07-01,-4.077641900178875
2022-08-01,-2.3430676657738303
2022-09-01,-5.525517317553252
2022-10-01,-4.722586301626627
2022-11-01,-7.4276137625524825
2022-12-01,-10.097500456080006
2023-01-01,-9.264380824345174
2023-02-01,-5.524195004424307
2023-03-01,-4.268043018325152
2023-04-01,-9.096926015084527
2023-05-01,-13.726588619947812
2023-06-01,-14.379916690943787
2023-07-01,-18.46005593780879
2023-08-01,-14.91788909452238
2023-09-01,-13.752841931205879
2023-10-01,-13.994234475955551
2023-11-01,-20.463343196003265
2023-12-01,-19.157241266903327
2024-01-01,-8.972965475892849
2024-02-01,-16.784558945422077
2024-03-01,-15.687507118900683
2024-04-01,-21.926805491524632
2024-05-01,-10.215604992486675
2024-06-01,-14.449261574199667
2024-07-01,-13.160455134077651
2024-08-01,-11.308129473606257
2024-09-01,-0.2770668569960151
2024-10-01,8.90828205481256
2024-11-01,-4.77381979637974
2024-12-01,-1.9620743937064447
