Date,Actual,Predicted,Lower_CI,Upper_CI
2019-06-01,49.001068815259394,42.09551072449593,35.26718066583357,48.92384078315828
2019-07-01,47.192381052259,38.89052637422891,24.249246479916064,53.531806268541764
2019-08-01,46.64485526955471,37.178668031257295,14.289539004618602,60.06779705789601
2019-09-01,47.02854698119185,36.69632765036538,4.521874310981819,68.87078098974895
2019-10-01,49.9037570399943,35.81801532351122,-6.453805377388121,78.08983602441057
2019-11-01,50.827719765549105,30.759557841973876,-22.20086613688659,83.71998182083435
2019-12-01,50.15978573253792,26.401918788033058,-37.90907363273029,90.71291120879644
2020-01-01,52.95124388145225,23.768251776819163,-52.52822685938585,100.06473041302421
2020-02-01,52.68406495192579,20.795369770055935,-68.05095484339796,109.64169438350984
2020-03-01,50.24447075300761,17.62431162629453,-84.32506513757829,119.57368839016738
2020-04-01,45.946233778088825,15.928839126152369,-99.66170380478472,131.51938205708944
2020-05-01,41.49012754779607,3.959513645621823,-125.78223797088634,133.70126526213005
2020-06-01,39.06116874162741,1.6068516206100765,-142.77917016050947,145.99287340172964
2020-07-01,42.70564631699628,-3.3849886864459098,-162.89455197920657,156.12457460631478
2020-08-01,45.85588663705516,-7.113387849725716,-182.2097867810555,167.98301108160405
2020-09-01,46.81506539007521,-9.914480347959246,-201.04738217130873,181.21842147539027
2020-10-01,47.03626314980146,-10.223152652119406,-217.83049461780786,197.38418931356907
2020-11-01,48.52391450206077,-12.482040937783157,-236.9902690662952,212.02618719072893
2020-12-01,49.471108872418505,-16.33361401755143,-258.15855172707916,225.4913236919763
2021-01-01,48.940802391870484,-16.725822634321066,-276.2736449361301,242.82199966748794
2021-02-01,49.11764705882353,-20.176367528310465,-297.8441446633451,257.49140960672423
2021-03-01,47.73479368612176,-25.799451086407277,-321.9757008538809,270.3767986810663
2021-04-01,48.96931256412648,-33.28123276028504,-348.3464998506671,281.78403433009703
2021-05-01,44.816253361219005,-40.92081394702893,-375.24813188363635,293.4065039895785
2021-06-01,42.75848715631857,-46.53325841266855,-400.4885642590289,307.4220474336918
2021-07-01,44.38538348971335,-46.072287277430455,-420.0148210729166,327.8702465180557
2021-08-01,46.75731351179486,-46.10554025349386,-440.38820043316593,348.1771199261782
2021-09-01,44.52371209372112,-48.32985302427613,-463.2995172986676,366.6398112501152
2021-10-01,44.048095486202875,-51.29215238712929,-487.28997709291053,384.7056723186518
2021-11-01,43.19375626805946,-52.98799632067576,-510.34969120256096,404.3736985612093
2021-12-01,45.769483639306124,-55.224296001890316,-534.2803762668995,423.8317842631187
2022-01-01,47.3194188663802,-58.93809775438796,-560.0141180841463,442.1379225753702
2022-02-01,49.13855552910066,-61.94474826943663,-585.3615199169355,461.47202337806215
2022-03-01,47.1380641128087,-66.51109641729995,-612.5848885598963,479.5626957252964
2022-04-01,47.29551048638093,-68.46007252800521,-637.5027998706748,500.58265481466424
2022-05-01,46.72014378571027,-75.79662677375848,-668.1160246639722,516.5227711164551
2022-06-01,47.437840959481896,-81.0378879192919,-696.9376759571497,534.8619001185657
2022-07-01,48.36897728218357,-82.59448655208932,-722.3745217994748,557.1855486952961
2022-08-01,51.35812253474494,-83.40605152227232,-747.3624722356458,580.5503691911009
2022-09-01,50.81909964192081,-88.82314791167859,-777.2485085636727,599.6022127403154
2022-10-01,52.32725465058476,-92.48225949027726,-805.6656578096814,620.7011388291265
2022-11-01,53.27622541879574,-96.52009368727614,-834.7472903720696,641.7071029975169
2022-12-01,53.810768945439534,-97.12786129152543,-860.6813929663225,666.4256703832714
2023-01-01,54.10176827358409,-98.76142103859247,-887.9207069781779,690.3978649009927
2023-02-01,55.747947345164576,-100.12577935184443,-915.167222444698,714.9156637410089
2023-03-01,59.05279319711821,-105.30976574379183,-946.5068481206055,735.8873166330214
2023-04-01,62.24743867096617,-108.33581434534531,-975.9591880585706,759.2875593678796
2023-05-01,63.360638150172285,-112.09467602149292,-1006.4122491278251,782.2228970848388
2023-06-01,65.17924291802457,-114.56047382323622,-1035.8374921887473,806.7165445422745
2023-07-01,64.69151775683396,-116.81283247590402,-1065.3119575954204,831.6862926436119
2023-08-01,66.72406899072486,-117.0071821987628,-1092.988565296284,858.9742008987579
2023-09-01,68.05724614525221,-120.72970006703785,-1124.451052721374,882.9916525872976
2023-10-01,71.36609605828471,-122.40504003379262,-1154.1217015533034,909.3116214857179
2023-11-01,70.11401990271075,-124.63956424100334,-1184.6045659931708,935.3254375111635
2023-12-01,67.32873253661,-127.28851568979174,-1215.752642574905,961.1756111953213
2024-01-01,72.08783181428252,-130.18101133707358,-1247.3928605804324,987.0308379062848
2024-02-01,74.45677676373978,-131.71832724091828,-1277.9243646645,1014.487710182663
2024-03-01,78.26611912198777,-131.59697636439248,-1307.0415902867298,1043.8476375579444
2024-04-01,75.7370068163306,-131.58582586597163,-1336.511378767877,1073.3397270359333
2024-05-01,77.08959338222834,-133.656121362192,-1368.3029994458661,1100.9907567214818
2024-06-01,75.75035731300619,-135.02101156976673,-1399.6276723296196,1129.5856491900856
2024-07-01,72.28488749778539,-138.69223170638432,-1433.495249621485,1156.1107862087158
2024-08-01,68.2937857364896,-139.84317544792026,-1465.0772858982996,1185.3909350024587
2024-09-01,67.69735301007262,-141.69349326881976,-1497.5916347708094,1214.2046482331696
2024-10-01,75.91063291079557,-141.5681383312142,-1528.361493180542,1245.225216518113
2024-11-01,76.9558655806827,-146.00370946221503,-1563.9217428676493,1271.914323943219
2024-12-01,81.70028388553699,-151.9724918037427,-1601.242989588622,1297.2980059811366
