Date,Residual
2019-03-01,-0.04715797250480591
2019-04-01,1.2760721033825888
2019-05-01,-7.317792129752277
2019-06-01,-6.00944065260515
2019-07-01,-7.672173170627659
2019-08-01,-8.326657450019674
2019-09-01,-8.194802777336797
2019-10-01,-5.334679738681629
2019-11-01,-4.661893954849944
2019-12-01,-5.340196690590709
2020-01-01,-2.4994154070083
2020-02-01,-2.8463650497708173
2020-03-01,-5.25178878048321
2020-04-01,-9.978908141456934
2020-05-01,-14.508106942736575
2020-06-01,-17.02995254973451
2020-07-01,-13.29418859240225
2020-08-01,-10.204793997420182
2020-09-01,-8.942922827777032
2020-10-01,-8.51115068198719
2020-11-01,-6.801962294563687
2020-12-01,-5.652794790091747
2021-01-01,-5.93411559080068
2021-02-01,-5.386109521496401
2021-03-01,-6.888797224703488
2021-04-01,-5.278662176096702
2021-05-01,-8.866414007377017
2021-06-01,-10.92598441895312
2021-07-01,-9.210628164490586
2021-08-01,-6.636627814153179
2021-09-01,-9.754043527050975
2021-10-01,-10.915696561168957
2021-11-01,-11.611726064286586
2021-12-01,-8.83981715259474
2022-01-01,-7.270004884887982
2022-02-01,-4.9931557175180785
2022-03-01,-6.7922265628170635
2022-04-01,-6.694213140421212
2022-05-01,-7.269983906522775
2022-06-01,-6.830395057834508
2022-07-01,-6.221601189758736
2022-08-01,-3.1851317547062763
2022-09-01,-4.447788302101742
2022-10-01,-3.8617189194321426
2022-11-01,-2.565073189953125
2022-12-01,-1.4429646865727932
2023-01-01,-0.8027677531473856
2023-02-01,0.787569375225317
2023-03-01,3.9048905997684003
2023-04-01,7.112203206837307
2023-05-01,7.7754211579228425
2023-06-01,9.219058301170442
2023-07-01,8.447318694923531
2023-08-01,9.675949161383826
2023-09-01,10.21006108407915
2023-10-01,13.067559774597626
2023-11-01,11.482793912931136
2023-12-01,9.28834201425363
2024-01-01,14.150762978099038
2024-02-01,15.910219560953635
2024-03-01,19.565718776172822
2024-04-01,16.92237567806466
2024-05-01,18.265351902287527
2024-06-01,16.777391090282528
2024-07-01,12.923754498435393
2024-08-01,8.388289414318237
2024-09-01,7.82737246856135
2024-10-01,15.93329553360482
2024-11-01,16.94807531253994
2024-12-01,21.75005941406969
