Date,Actual,Predicted,Residual
2019-03-01,170.0,172.7521556657558,-2.7521556657557937
2019-04-01,174.0,168.95507003231984,5.0449299676801616
2019-05-01,148.0,174.4018400700998,-26.40184007009981
2019-06-01,149.0,138.30169725979147,10.698302740208533
2019-07-01,144.0,148.013657650862,-4.013657650862001
2019-08-01,142.0,144.1201596826283,-2.120159682628298
2019-09-01,144.0,140.12320621008865,3.8767937899113463
2019-10-01,154.0,143.58791769824197,10.412082301758034
2019-11-01,158.0,156.79470921611562,1.2052907838843794
2019-12-01,159.0,159.9834225913838,-0.9834225913837997
2020-01-01,168.0,163.6006662735162,4.399333726483803
2020-02-01,168.0,172.33478113132801,-4.334781131328015
2020-03-01,160.0,170.50209952870384,-10.502099528703837
2020-04-01,151.0,157.2947550463378,-6.294755046337798
2020-05-01,151.0,146.2077655908391,4.792234409160898
2020-06-01,149.0,148.47919215973909,0.5208078402609146
2020-07-01,149.0,146.60711837903077,2.3928816209692343
2020-08-01,153.0,151.9731679118358,1.0268320881642126
2020-09-01,155.0,152.65732156988483,2.3426784301151713
2020-10-01,156.0,155.80184602711682,0.19815397288317627
2020-11-01,162.0,156.15084798600193,5.849152013998065
2020-12-01,165.0,164.52044827471764,0.4795517252823629
2021-01-01,165.0,169.94594231734055,-4.945942317340553
2021-02-01,167.0,166.6774587539757,0.32254124602428647
2021-03-01,163.0,169.70730633345582,-6.7073063334558185
2021-04-01,168.0,160.86984503041066,7.130154969589341
2021-05-01,159.0,167.32805437845187,-8.328054378451867
2021-06-01,159.0,154.6678847566567,4.33211524334331
2021-07-01,165.0,157.54644436455982,7.453555635440182
2021-08-01,175.0,169.57714322823432,5.42285677176568
2021-09-01,173.0,177.11637765175848,-4.116377651758484
2021-10-01,175.0,173.62930357389453,1.370696426105468
2021-11-01,174.0,176.07012486416517,-2.070124864165166
2021-12-01,181.0,174.12249540740254,6.877504592597461
2022-01-01,185.0,187.53382135992203,-2.5338213599220296
2022-02-01,194.0,187.46375744097713,6.536242559022867
2022-03-01,187.0,199.06353476844572,-12.06353476844572
2022-04-01,186.0,184.46011679573513,1.5398832042648678
2022-05-01,183.0,183.29513046333338,-0.2951304633333791
2022-06-01,184.0,179.87143356373448,4.1285664362655154
2022-07-01,186.0,182.80408057081496,3.1959194291850395
2022-08-01,197.0,190.49550215920215,6.504497840797853
2022-09-01,195.0,198.99378628091677,-3.9937862809167655
2022-10-01,200.0,195.6940426905813,4.305957309418687
2022-11-01,203.0,201.8594442875457,1.1405557124543009
2022-12-01,206.0,204.70302838399755,1.2969716160024518
2023-01-01,209.0,211.8770146861438,-2.8770146861438093
2023-02-01,217.0,211.62488214696197,5.375117853038034
2023-03-01,230.0,220.36521925256454,9.634780747435457
2023-04-01,244.0,233.06091267196427,10.939087328035725
2023-05-01,251.0,245.43190986792533,5.568090132074673
2023-06-01,260.0,252.0005635774242,7.999436422575798
2023-07-01,262.0,262.6447081632405,-0.6447081632405229
2023-08-01,272.0,269.811046585029,2.1889534149710244
2023-09-01,279.0,273.62683765446286,5.373162345537139
2023-10-01,297.0,282.6752513412918,14.324748658708188
2023-11-01,290.0,303.43048845495184,-13.430488454951842
2023-12-01,280.0,290.85609030675914,-10.856090306759143
2024-01-01,300.0,283.8949350389595,16.10506496104051
2024-02-01,311.0,307.887842549235,3.1121574507649825
2024-03-01,328.0,315.98511683919867,12.014883160801332
2024-04-01,318.0,333.25484447571444,-15.254844475714435
2024-05-01,323.0,311.8089099203855,11.191090079614526
2024-06-01,318.0,322.15671472952016,-4.156714729520161
2024-07-01,306.0,315.1014747915371,-9.1014747915371
2024-08-01,290.0,310.1727001321543,-20.17270013215432
2024-09-01,289.0,283.00403061246584,5.99596938753416
2024-10-01,322.0,288.26173896009243,33.73826103990757
2024-11-01,334.0,329.83500299212665,4.164997007873353
2024-12-01,356.0,339.01886456603785,16.98113543396215
