Date,Residual
2019-03-01,-0.0008496475316945862
2019-04-01,0.022659020155822773
2019-05-01,-0.1414467138389477
2019-06-01,-0.11568213778362768
2019-07-01,-0.15063503625037677
2019-08-01,-0.16425246289571804
2019-09-01,-0.16063106680798533
2019-10-01,-0.10156273811423855
2019-11-01,-0.08775399262672634
2019-12-01,-0.10116907941627806
2020-01-01,-0.04612204011380694
2020-02-01,-0.052618121821423
2020-03-01,-0.09941511656933377
2020-04-01,-0.19654216308685601
2020-05-01,-0.299864654761703
2020-06-01,-0.36184868755064237
2020-07-01,-0.27101759894352684
2020-08-01,-0.20093110734963826
2020-09-01,-0.17481562532856243
2020-10-01,-0.16631809872631287
2020-11-01,-0.13118397498550882
2020-12-01,-0.10819460532452485
2021-01-01,-0.11444492347274915
2021-02-01,-0.10405124657839293
2021-03-01,-0.13480529802675978
2021-04-01,-0.10237183202873945
2021-05-01,-0.1805193097368818
2021-06-01,-0.2275560841260167
2021-07-01,-0.1885644413141354
2021-08-01,-0.1327265989592874
2021-09-01,-0.1980925826379818
2021-10-01,-0.22139252585503622
2021-11-01,-0.23809427753858525
2021-12-01,-0.17658663945671282
2022-01-01,-0.1429194016940354
2022-02-01,-0.09677620230566619
2022-03-01,-0.13461146930136314
2022-04-01,-0.13237834997518183
2022-05-01,-0.14462579321602842
2022-06-01,-0.13451884103851564
2022-07-01,-0.12100266943011784
2022-08-01,-0.06017093987275324
2022-09-01,-0.08390169671141523
2022-10-01,-0.07120318106782264
2022-11-01,-0.0470235345902994
2022-12-01,-0.026462301755379336
2023-01-01,-0.014729097942986158
2023-02-01,0.014228065668833167
2023-03-01,0.06841312965880864
2023-04-01,0.1213283947654551
2023-05-01,0.13092553480059888
2023-06-01,0.15250060921439168
2023-07-01,0.1399271838032652
2023-08-01,0.1566706230388366
2023-09-01,0.16254441290732213
2023-10-01,0.20224592503385264
2023-11-01,0.17885535127592433
2023-12-01,0.14844792123729889
2024-01-01,0.21852786044857897
2024-02-01,0.2403964920117012
2024-03-01,0.28766825636327376
2024-04-01,0.2528762496659729
2024-05-01,0.27041425586043033
2024-06-01,0.25036402209638986
2024-07-01,0.1969753967958221
2024-08-01,0.13105051840102622
2024-09-01,0.12287186041173825
2024-10-01,0.23558998514966056
2024-11-01,0.2487576916533829
2024-12-01,0.30954285081320077
